Field of study,All full-time employed,Computer applications,"Management, sales, or administration",Professional services,Any R&D,Teaching,Other Activity,4-year educational institution,Other educational institution,"Private, for profit","Private, nonprofit",Federal government,State or local government,Self-employed,Other Sector,Graduates,percents
All fields,110000,129000,136000,115000,115000,79000,106000,90000.0,71000.0,137000.0,114000.0,120000.0,90000.0,99000.0,124000.0,967500.0,100.0
Science,104000,126000,130000,110000,110000,76000,99000,88000.0,71000.0,135000.0,109000.0,118000.0,86000.0,100000.0,124000.0,736700.0,76.14470284237727
"Biological, agricultural, and environmental life sciences",100000,105000,125000,152000,100000,75000,99000,84000.0,69000.0,130000.0,105000.0,110000.0,79000.0,99000.0,89000.0,246850.0,25.51421188630491
Agricultural and food sciences,106000,100000,135000,120000,101000,84000,88000,94000.0,88000.0,125000.0,100000.0,115000.0,79000.0,89000.0,65000.0,20800.0,2.149870801033592
Biochemistry and biophysics,109000,116000,135000,159000,105000,69000,110000,82000.0,57000.0,129000.0,131000.0,114000.0,108000.0,68000.0,89000.0,34500.0,3.565891472868217
"Cell, cellular biology, and molecular biology",101000,96000,130000,200000,100000,77000,90000,82000.0,70000.0,132000.0,102000.0,120000.0,60000.0,99000.0,89000.0,33550.0,3.467700258397933
Microbiological sciences and immunology,105000,102000,125000,170000,100000,75000,106000,80000.0,75000.0,132000.0,109000.0,109000.0,80000.0,99000.0,89000.0,26250.0,2.7131782945736433
Natural resources and conservation,91000,95000,112000,137000,90000,74000,70000,82000.0,70000.0,117000.0,105000.0,109000.0,71000.0,47000.0,121000.0,10900.0,1.1266149870801034
Zoology,98000,105000,101000,77000,105000,80000,78000,89000.0,70000.0,130000.0,102000.0,100000.0,73000.0,99000.0,89000.0,10350.0,1.0697674418604652
Other biological sciences,100000,99000,124000,145000,98000,72000,99000,82000.0,67000.0,135000.0,100000.0,109000.0,80000.0,118000.0,66000.0,110450.0,11.416020671834627
Computer and information sciences,139000,140000,161000,147000,149000,90000,117000,104000.0,70000.0,152000.0,131000.0,145000.0,60000.0,112000.0,150000.0,30150.0,3.1162790697674416
Mathematics and statistics,108000,129000,158000,145000,120000,78000,89000,90000.0,67000.0,149000.0,142000.0,131000.0,116000.0,79000.0,148000.0,42500.0,4.3927648578811365
"Physical sciences, geosciences, atmospheric, and ocean sciences",114000,125000,140000,150000,117000,73000,110000,86000.0,69000.0,135000.0,120000.0,125000.0,86000.0,109000.0,120000.0,159250.0,16.459948320413435
Astronomy and astrophysics,104000,99000,152000,150000,105000,73000,99000,87000.0,69000.0,142000.0,118000.0,147000.0,86000.0,109000.0,104000.0,6450.0,0.6666666666666667
"Chemistry, except biochemistry",110000,123000,140000,139000,115000,70000,114000,79000.0,69000.0,130000.0,119000.0,123000.0,87000.0,111000.0,109000.0,78950.0,8.160206718346254
"Geosciences, atmospheric, and ocean sciences",102000,105000,130000,139000,108000,77000,97000,90000.0,68000.0,144000.0,104000.0,120000.0,84000.0,109000.0,110000.0,25350.0,2.62015503875969
Physics,121000,129000,150000,177000,124000,76000,104000,95000.0,63000.0,141000.0,130000.0,129000.0,86000.0,108000.0,148000.0,48500.0,5.012919896640827
Psychology,98000,109000,113000,100000,105000,76000,87000,87000.0,81000.0,116000.0,96000.0,109000.0,100000.0,100000.0,98000.0,136900.0,14.149870801033593
Social sciences,99000,114000,130000,136000,110000,79000,89000,90000.0,72000.0,143000.0,120000.0,130000.0,80000.0,96000.0,148000.0,121050.0,12.511627906976743
Economics,135000,112000,169000,188000,139000,96000,129000,114000.0,72000.0,167000.0,152000.0,146000.0,86000.0,96000.0,174000.0,32000.0,3.3074935400516794
Political science and government,95000,114000,139000,100000,95000,80000,119000,89000.0,74000.0,120000.0,129000.0,122000.0,79000.0,96000.0,120000.0,24150.0,2.496124031007752
"Sociology, demography, and population studies",87000,103000,115000,64000,100000,73000,112000,82000.0,67000.0,121000.0,100000.0,120000.0,91000.0,87000.0,126000.0,19450.0,2.0103359173126614
Other social sciences,85000,108000,103000,101000,92000,73000,75000,80000.0,73000.0,116000.0,90000.0,119000.0,75000.0,78000.0,91000.0,45450.0,4.6976744186046515
Engineering,129000,129000,150000,148000,125000,93000,118000,100000.0,60000.0,140000.0,130000.0,129000.0,98000.0,98000.0,129000.0,186700.0,19.297157622739018
"Aerospace, aeronautical, and astronautical engineering",135000,130000,149000,148000,135000,98000,118000,101000.0,60000.0,148000.0,127000.0,140000.0,98000.0,98000.0,129000.0,7350.0,0.7596899224806202
Chemical engineering,129000,131000,159000,161000,125000,90000,126000,99000.0,53000.0,140000.0,143000.0,130000.0,97000.0,98000.0,102000.0,23200.0,2.397932816537468
Civil engineering,110000,101000,130000,113000,110000,90000,100000,99000.0,55000.0,120000.0,101000.0,123000.0,92000.0,138000.0,129000.0,20000.0,2.0671834625323
Electrical and computer engineering,140000,139000,169000,156000,140000,94000,123000,106000.0,65000.0,149000.0,150000.0,128000.0,102000.0,98000.0,137000.0,50950.0,5.2661498708010335
Mechanical engineering,120000,124000,149000,153000,120000,91000,128000,100000.0,60000.0,130000.0,116000.0,127000.0,98000.0,98000.0,145000.0,26700.0,2.75968992248062
Metallurgical and materials engineering,124000,113000,148000,139000,120000,92000,118000,93000.0,60000.0,130000.0,120000.0,124000.0,98000.0,98000.0,129000.0,17950.0,1.855297157622739
Other engineering,123000,126000,148000,135000,120000,94000,118000,100000.0,70000.0,134000.0,125000.0,129000.0,112000.0,115000.0,99000.0,40550.0,4.191214470284238
Health,104000,112000,133000,134000,106000,83000,108000,91000.0,84000.0,140000.0,134000.0,119000.0,108000.0,93357.38145464144,96000.0,44100.0,4.55813953488372
